,Run,Gen,PC,Score,Score4
513,1.0,172.0,0.0,0.8,1.0
514,1.0,172.0,1.0,0.7,1.0
515,1.0,172.0,2.0,0.6,0.25
516,1.0,173.0,0.0,0.8,1.0
517,1.0,173.0,1.0,0.7,1.0
518,1.0,173.0,2.0,0.6,0.25
519,1.0,174.0,0.0,0.8,1.0
520,1.0,174.0,1.0,0.7,1.0
521,1.0,174.0,2.0,0.6,0.25
522,1.0,175.0,0.0,0.8,1.0
523,1.0,175.0,1.0,0.7,1.0
524,1.0,175.0,2.0,0.6,0.25
525,1.0,176.0,0.0,0.8,1.0
526,1.0,176.0,1.0,0.7,1.0
527,1.0,176.0,2.0,0.6,0.25
528,1.0,177.0,0.0,0.8,1.0
529,1.0,177.0,1.0,0.7,1.0
530,1.0,177.0,2.0,0.6,0.25
531,1.0,178.0,0.0,0.8,1.0
532,1.0,178.0,1.0,0.7,1.0
533,1.0,178.0,2.0,0.6,0.25
534,1.0,179.0,0.0,0.8,1.0
535,1.0,179.0,1.0,0.7,1.0
536,1.0,179.0,2.0,0.6,0.25
537,1.0,180.0,0.0,0.8,1.0
538,1.0,180.0,1.0,0.7,1.0
539,1.0,180.0,2.0,0.6,0.25
540,1.0,181.0,0.0,0.8,1.0
541,1.0,181.0,1.0,0.7,1.0
542,1.0,181.0,2.0,0.6,0.25
543,1.0,182.0,0.0,0.8,1.0
544,1.0,182.0,1.0,0.7,1.0
545,1.0,182.0,2.0,0.6,0.25
546,1.0,183.0,0.0,0.8,1.0
547,1.0,183.0,1.0,0.7,1.0
548,1.0,183.0,2.0,0.6,0.25
549,1.0,184.0,0.0,0.8,1.0
550,1.0,184.0,1.0,0.7,1.0
551,1.0,184.0,2.0,0.6,0.25
552,1.0,185.0,0.0,0.8,1.0
553,1.0,185.0,1.0,0.7,1.0
554,1.0,185.0,2.0,0.6,0.25
555,1.0,186.0,0.0,0.8,1.0
556,1.0,186.0,1.0,0.7,1.0
557,1.0,186.0,2.0,0.6,0.25
558,1.0,187.0,0.0,0.8,1.0
559,1.0,187.0,1.0,0.7,1.0
560,1.0,187.0,2.0,0.6,0.25
561,1.0,188.0,0.0,0.8,1.0
562,1.0,188.0,1.0,0.7,1.0
563,1.0,188.0,2.0,0.6,0.25
564,1.0,189.0,0.0,0.8,1.0
565,1.0,189.0,1.0,0.7,1.0
566,1.0,189.0,2.0,0.6,0.25
567,1.0,190.0,0.0,0.8,1.0
568,1.0,190.0,1.0,0.7,1.0
569,1.0,190.0,2.0,0.6,0.25
570,1.0,191.0,0.0,0.8,1.0
571,1.0,191.0,1.0,0.7,1.0
572,1.0,191.0,2.0,0.6,0.25
573,1.0,192.0,0.0,0.8,1.0
574,1.0,192.0,1.0,0.7,1.0
575,1.0,192.0,2.0,0.6,0.25
576,1.0,193.0,0.0,0.8,1.0
577,1.0,193.0,1.0,0.7,1.0
578,1.0,193.0,2.0,0.6,0.25
579,1.0,194.0,0.0,0.8,1.0
580,1.0,194.0,1.0,0.7,1.0
581,1.0,194.0,2.0,0.6,0.25
582,1.0,195.0,0.0,0.8,1.0
583,1.0,195.0,1.0,0.7,1.0
584,1.0,195.0,2.0,0.6,0.25
585,1.0,196.0,0.0,0.8,1.0
586,1.0,196.0,1.0,0.7,1.0
587,1.0,196.0,2.0,0.6,0.25
588,1.0,197.0,0.0,0.8,1.0
589,1.0,197.0,1.0,0.7,1.0
590,1.0,197.0,2.0,0.6,0.25
591,1.0,198.0,0.0,0.8,1.0
592,1.0,198.0,1.0,0.7,1.0
593,1.0,198.0,2.0,0.6,0.25
594,1.0,199.0,0.0,0.8,1.0
595,1.0,199.0,1.0,0.7,1.0
596,1.0,199.0,2.0,0.6,0.25
597,1.0,200.0,0.0,0.8,1.0
598,1.0,200.0,1.0,0.7,1.0
599,1.0,200.0,2.0,0.6,0.25
600,1.0,201.0,0.0,0.8,1.0
601,1.0,201.0,1.0,0.7,1.0
602,1.0,201.0,2.0,0.6,0.25
603,1.0,202.0,0.0,0.8,1.0
604,1.0,202.0,1.0,0.7,1.0
605,1.0,202.0,2.0,0.6,0.25
606,1.0,203.0,0.0,0.8,1.0
607,1.0,203.0,1.0,0.7,1.0
608,1.0,203.0,2.0,0.6,0.25
609,1.0,204.0,0.0,0.8,1.0
610,1.0,204.0,1.0,0.7,1.0
611,1.0,204.0,2.0,0.6,0.25
612,1.0,205.0,0.0,0.8,1.0
613,1.0,205.0,1.0,0.7,1.0
614,1.0,205.0,2.0,0.6,0.25
615,1.0,206.0,0.0,0.8,1.0
616,1.0,206.0,1.0,0.7,1.0
617,1.0,206.0,2.0,0.6,0.25
618,1.0,207.0,0.0,0.8,1.0
619,1.0,207.0,1.0,0.7,1.0
620,1.0,207.0,2.0,0.6,0.25
621,1.0,208.0,0.0,0.8,1.0
622,1.0,208.0,1.0,0.7,1.0
623,1.0,208.0,2.0,0.6,0.25
624,1.0,209.0,0.0,0.8,1.0
625,1.0,209.0,1.0,0.7,1.0
626,1.0,209.0,2.0,0.6,0.25
627,1.0,210.0,0.0,0.8,1.0
628,1.0,210.0,1.0,0.7,1.0
629,1.0,210.0,2.0,0.6,0.25
